feature,importance
avg_monetary,0.5780967356372865
recency,0.10024327574056632
monetary,0.04867105766662603
avg_freight_per_order,0.04176378101171074
unique_sellers,0.022394078984872074
avg_review_score,0.01671508092056134
customer_city_santos,0.008092141141456465
customer_city_paulinia,0.007598015082883437
customer_city_carapicuiba,0.006626957676088329
customer_city_novo hamburgo,0.006179338259922596
frequency,0.005978013368210153
unique_product_categories,0.0058454622651786916
customer_state_MG,0.005303495552875917
customer_state_SC,0.005254852616276642
customer_state_RN,0.004293939118587517
customer_city_ananindeua,0.0040502171852450294
customer_state_DF,0.00391486108665521
customer_city_brasilia,0.003899214937533099
customer_city_itanhaem,0.0038851866233428262
customer_state_SP,0.003706400319694858
customer_city_londrina,0.0034305821021662713
customer_city_vinhedo,0.0034101120773854083
avg_items_per_order,0.0033151528415804035
customer_city_vitoria da conquista,0.002989985881788434
customer_city_bariri,0.002750184259966453
customer_city_jandira,0.0023970149246140444
customer_city_santo andre,0.002343541125943227
customer_city_sao luis,0.002301374625047727
customer_city_cidade ocidental,0.0021696132541517378
customer_city_sapucaia do sul,0.002133244078622102
customer_city_botucatu,0.002095817739676626
customer_city_bento goncalves,0.002084134798421795
customer_city_arapongas,0.0020204485886247923
customer_state_PR,0.0019659487736775425
customer_city_paraty,0.0019230914598297746
customer_city_porto alegre,0.0019110261657259299
customer_city_teresopolis,0.0018733305982274492
customer_state_AP,0.0018096868951494919
customer_city_sao bernardo do campo,0.0017949492141655663
customer_city_foz do iguacu,0.0017764169915733827
customer_city_mesquita,0.0013961703339927533
customer_state_BA,0.0013452446894018787
customer_city_aparecida de goiania,0.001315512019512611
customer_city_lagarto,0.0013148254997012747
customer_state_TO,0.0012759165085564328
customer_city_jacarei,0.0012676402649382738
customer_city_jaboticabal,0.0012674634295399467
customer_city_queimados,0.0012634931252345223
customer_city_pilar do sul,0.001263038442083966
customer_city_juazeiro,0.0012591697528073751
customer_city_pelotas,0.0012466803591118338
customer_city_sao jose dos campos,0.001241880797518197
customer_city_itatiba,0.001228506411298966
customer_city_presidente prudente,0.0012050828127550628
customer_city_ipojuca,0.001189832853191627
customer_city_teixeira de freitas,0.001184722439602261
customer_city_votorantim,0.0011832237848513152
customer_city_concordia,0.0011827991013007614
customer_city_itapecerica da serra,0.0011738688934998126
customer_city_feira de santana,0.0011654521385370724
customer_city_dourados,0.001162425171750849
customer_city_piquete,0.0011476588311753835
customer_city_mococa,0.0011470320055640114
customer_city_canoas,0.0011372132092437874
customer_city_arroio do meio,0.0011042199567485567
customer_city_luiziania,0.0010980718374249243
customer_city_pirapora,0.0010752494352647662
customer_city_cristina,0.0010676238329548708
customer_state_RJ,0.001046609725369063
customer_city_goiania,0.0010368529730650404
customer_city_lapa,0.000997408926687244
customer_city_jundiai,0.0009589920445573281
customer_city_erechim,0.0009488981381725927
customer_city_tocantinopolis,0.0008662660502617421
customer_city_salvador,0.0008643211050967888
customer_state_RS,0.0007376458645606112
customer_city_niteroi,0.0006781123278019878
customer_state_PA,0.0006143278579279909
customer_city_pocos de caldas,0.0005912749932653179
customer_city_cachoeira do sul,0.0005816169796435934
customer_city_pejucara,0.0005809349540287897
customer_city_rio das ostras,0.0005677543839665213
customer_city_juazeiro do norte,0.0005661254182736666
customer_city_andorinha,0.0005639117235336877
customer_city_barra da estiva,0.0005594366431133105
customer_city_alto horizonte,0.000553634453047413
customer_city_itubera,0.0005528411075350075
customer_city_bertolinia,0.0005489794657194001
customer_city_aripuana,0.0005445743974689495
customer_city_dias d'avila,0.000543532344542182
customer_city_toledo,0.0005424738776538638
customer_city_alegrete,0.0005417082972348545
customer_city_frei lagonegro,0.000541412576775218
customer_city_dracena,0.0005413950121754729
customer_city_belem,0.0005409871235403611
customer_city_campo mourao,0.0005403978765811748
customer_city_jacinto,0.000539892546402209
customer_city_santa luzia,0.0005391449384435695
customer_city_teofilo otoni,0.0005378991096177868
customer_city_santana de parnaiba,0.0005316781861616543
customer_city_rio tinto,0.000531049275071388
customer_city_itarana,0.0005310465068784528
customer_city_salto,0.0005273202925726414
customer_city_xanxere,0.000526487284511946
customer_city_durande,0.0005255890165576192
customer_city_piracanjuba,0.0005195046648551314
customer_city_pirai,0.0005188796910362672
customer_state_RO,0.0005170694978012704
customer_city_mongagua,0.0005142843242994062
customer_city_hulha negra,0.0005142403862109311
customer_city_sud mennucci,0.000512316262410818
customer_city_igarata,0.0005122935239124793
customer_city_mairinque,0.0005099179744935791
customer_city_jose da penha,0.0005083274599134741
customer_city_itaborai,0.000507873222089021
customer_city_arcos,0.000507571037518016
customer_city_muriae,0.0005031681704762942
customer_city_coromandel,0.0005030073009307757
customer_state_AL,0.0005021796721575249
customer_city_paraibuna,0.0005019472232010423
customer_city_indaiatuba,0.0004985220531655396
customer_city_sao lourenco da mata,0.000497487184798899
customer_city_curvelandia,0.000497234717310808
customer_city_vazante,0.0004930736548386988
customer_city_patos de minas,0.0004918489467021033
customer_city_sao pedro dos ferros,0.0004904568290339446
customer_city_sobral,0.0004902121593316031
customer_city_ibiruba,0.0004883533365467556
customer_city_ijui,0.00048799192285183186
customer_city_lagoa dos gatos,0.00048409989258338447
customer_city_vila flores,0.00048404547045803934
customer_city_cambe,0.00048378009378099404
customer_city_pilao arcado,0.0
customer_city_promissao,0.0
customer_city_primavera do leste,0.0
customer_city_pimenta bueno,0.0
customer_city_presidente kubitschek,0.0
customer_city_presidente epitacio,0.0
customer_city_quata,0.0
customer_city_piedade de caratinga,0.0
customer_city_petropolis,0.0
customer_city_petrolandia,0.0
customer_city_quinta do sol,0.0
customer_city_quintana,0.0
customer_city_pindamonhangaba,0.0
customer_city_pereira barreto,0.0
customer_city_penha,0.0
customer_city_penapolis,0.0
customer_city_quirinopolis,0.0
customer_city_quixada,0.0
customer_city_pedro leopoldo,0.0
customer_city_quixeramobim,0.0
customer_city_pedro ii,0.0
customer_city_reboucas,0.0
customer_city_paulo lopes,0.0
customer_city_paulo de faria,0.0
customer_city_peruibe,0.0
customer_city_pirassununga,0.0
customer_city_piratuba,0.0
customer_city_porecatu,0.0
customer_city_pires do rio,0.0
customer_city_pires ferreira,0.0
customer_city_pitangueiras,0.0
customer_city_pitangui,0.0
customer_city_ponto novo,0.0
customer_city_ponto belo,0.0
customer_city_pinhalzinho,0.0
customer_city_pontal,0.0
customer_city_ponta grossa,0.0
customer_city_pompeia,0.0
customer_city_piuma,0.0
customer_city_pombal,0.0
customer_city_piumhii,0.0
customer_city_poloni,0.0
customer_city_poa,0.0
customer_city_pojuca,0.0
customer_city_ponte nova,0.0
customer_city_presidente dutra,0.0
customer_city_pinhais,0.0
customer_city_pinhalao,0.0
customer_city_pinhotiba,0.0
customer_city_prata,0.0
customer_city_praia grande,0.0
customer_city_prados,0.0
customer_city_pouso alegre,0.0
customer_city_porto velho,0.0
customer_city_piraquara,0.0
customer_city_porto seguro,0.0
customer_city_pirajuba,0.0
customer_city_piranguinho,0.0
customer_city_porto real,0.0
customer_city_pirapora do bom jesus,0.0
customer_city_porto nacional,0.0
customer_city_porto amazonas,0.0
customer_city_porteirinha,0.0
customer_city_portalegre,0.0
customer_city_piracicaba,0.0
customer_city_mogi-guacu,0.0
customer_city_montalvania,0.0
customer_city_monte azul,0.0
customer_city_monte carlo,0.0
customer_city_monte carmelo,0.0
customer_city_monte mor,0.0
customer_city_montenegro,0.0
customer_city_montes claros,0.0
customer_city_morada nova de minas,0.0
customer_city_morpara,0.0
customer_city_morro da fumaca,0.0
customer_city_mossoro,0.0
customer_city_raposos,0.0
customer_city_mutum,0.0
customer_city_muzambinho,0.0
customer_city_nanuque,0.0
customer_city_natal,0.0
customer_city_navegantes,0.0
customer_city_nepomuceno,0.0
customer_city_nilopolis,0.0
customer_city_niquelandia,0.0
customer_city_nonoai,0.0
customer_city_nossa senhora das gracas,0.0
customer_city_nossa senhora do o,0.0
customer_city_nossa senhora do socorro,0.0
customer_city_mundo novo,0.0
customer_city_maracai,0.0
customer_city_maracas,0.0
customer_city_marechal candido rondon,0.0
customer_city_marica,0.0
customer_city_marilac,0.0
customer_city_marilia,0.0
customer_city_maringa,0.0
customer_city_martinho campos,0.0
customer_city_martinopolis,0.0
customer_city_matao,0.0
customer_city_mateus leme,0.0
customer_city_matias barbosa,0.0
customer_city_mogi mirim,0.0
customer_city_matozinhos,0.0
customer_city_maua,0.0
customer_city_medeiros,0.0
customer_city_medeiros neto,0.0
customer_city_medianeira,0.0
customer_city_miguel pereira,0.0
customer_city_minacu,0.0
customer_city_miracema,0.0
customer_city_mirandopolis,0.0
customer_city_mirassol,0.0
customer_city_mirassol d'oeste,0.0
customer_city_mogi das cruzes,0.0
customer_city_mato leitao,0.0
customer_city_palhoca,0.0
