fpr,tpr
0.0,0.0
0.0,0.0009794319294809011
0.0,0.002938295788442703
0.0010526315789473684,0.002938295788442703
0.0010526315789473684,0.004897159647404506
0.002105263157894737,0.004897159647404506
0.002105263157894737,0.0068560235063663075
0.003157894736842105,0.0068560235063663075
0.003157894736842105,0.00881488736532811
0.004210526315789474,0.00881488736532811
0.004210526315789474,0.01665034280117532
0.005263157894736842,0.01665034280117532
0.005263157894736842,0.01762977473065622
0.00631578947368421,0.01762977473065622
0.00631578947368421,0.01860920666013712
0.008421052631578947,0.019588638589618023
0.009473684210526316,0.019588638589618023
0.009473684210526316,0.021547502448579822
0.010526315789473684,0.021547502448579822
0.010526315789473684,0.02840352595494613
0.011578947368421053,0.02840352595494613
0.011578947368421053,0.034280117531831536
0.011578947368421053,0.03623898139079334
0.011578947368421053,0.039177277179236046
0.01263157894736842,0.039177277179236046
0.01263157894736842,0.04113614103819784
0.014736842105263158,0.04113614103819784
0.014736842105263158,0.043095004897159644
0.014736842105263158,0.04701273261508325
0.014736842105263158,0.04995102840352596
0.015789473684210527,0.04995102840352596
0.015789473684210527,0.05190989226248776
0.016842105263157894,0.05190989226248776
0.016842105263157894,0.05484818805093046
0.016842105263157894,0.05680705190989226
0.016842105263157894,0.059745347698334964
0.016842105263157894,0.061704211557296766
0.016842105263157894,0.06464250734573947
0.016842105263157894,0.06953966699314397
0.017894736842105262,0.06953966699314397
0.017894736842105262,0.07247796278158668
0.02,0.07247796278158668
0.02,0.07345739471106758
0.02,0.07639569049951028
0.02,0.07737512242899118
0.022105263157894735,0.07737512242899118
0.022105263157894735,0.07933398628795299
0.022105263157894735,0.08129285014691479
0.022105263157894735,0.08521057786483839
0.022105263157894735,0.089128305582762
0.023157894736842106,0.089128305582762
0.023157894736842106,0.0910871694417238
0.023157894736842106,0.0930460333006856
0.023157894736842106,0.0940254652301665
0.024210526315789474,0.09500489715964741
0.02526315789473684,0.09500489715964741
0.02526315789473684,0.098922624877571
0.02526315789473684,0.10088148873653281
0.02736842105263158,0.10186092066601371
0.02736842105263158,0.10871694417238002
0.028421052631578948,0.10969637610186092
0.029473684210526315,0.10969637610186092
0.029473684210526315,0.11165523996082272
0.030526315789473683,0.11165523996082272
0.031578947368421054,0.11459353574926542
0.03263157894736842,0.11459353574926542
0.03263157894736842,0.11557296767874632
0.03368421052631579,0.12047012732615084
0.035789473684210524,0.12047012732615084
0.035789473684210524,0.12144955925563174
0.03684210526315789,0.12144955925563174
0.03684210526315789,0.12340842311459353
0.037894736842105266,0.12536728697355534
0.037894736842105266,0.12634671890303623
0.04,0.12634671890303623
0.04,0.12830558276199805
0.04105263157894737,0.12928501469147893
0.042105263157894736,0.12928501469147893
0.042105263157894736,0.13124387855044076
0.0431578947368421,0.13124387855044076
0.0431578947368421,0.13320274240940255
0.045263157894736845,0.13614103819784526
0.04631578947368421,0.13614103819784526
0.04631578947368421,0.13907933398628794
0.04631578947368421,0.14103819784524976
0.04736842105263158,0.14201762977473065
0.04842105263157895,0.14397649363369247
0.049473684210526316,0.14397649363369247
0.049473684210526316,0.14495592556317335
0.05052631578947368,0.14691478942213515
0.05052631578947368,0.15083251714005877
0.05157894736842105,0.15181194906953965
0.05263157894736842,0.15181194906953965
0.05263157894736842,0.16062683643486778
0.05368421052631579,0.16062683643486778
0.05368421052631579,0.1616062683643487
0.05473684210526316,0.16258570029382957
0.05473684210526316,0.16454456415279137
0.056842105263157895,0.16454456415279137
0.056842105263157895,0.16748285994123407
0.05789473684210526,0.16748285994123407
0.05789473684210526,0.168462291870715
0.05894736842105263,0.168462291870715
0.05894736842105263,0.17238001958863858
0.05894736842105263,0.1743388834476004
0.05894736842105263,0.1762977473065622
0.06,0.1762977473065622
0.06,0.1792360430950049
