feature,importance
customer_city_papanduva,0.0
customer_city_paraty,0.0
customer_city_parauapebas,0.0
customer_city_paripueira,0.0
customer_city_parnaiba,0.0
customer_city_parnamirim,0.0
customer_city_parobe,0.0
customer_city_palmeira,0.0
customer_city_palmeira das missoes,0.0
customer_city_palmeiras de goias,0.0
customer_city_palmital,0.0
customer_city_palmitos,0.0
customer_city_parati,0.0
customer_city_ponto novo,0.0
customer_city_porangatu,0.0
customer_city_porecatu,0.0
customer_city_portalegre,0.0
customer_city_portao,0.0
customer_city_porteirinha,0.0
customer_city_porto amazonas,0.0
customer_city_porto feliz,0.0
customer_city_porto nacional,0.0
customer_city_padre bernardo,0.0
customer_city_porto velho,0.0
customer_city_potiragua,0.0
customer_city_pouso alegre,0.0
customer_city_praia grande,0.0
customer_city_pires ferreira,0.0
customer_city_pitangueiras,0.0
customer_city_pitangui,0.0
customer_city_piuma,0.0
customer_city_piumhii,0.0
customer_city_poa,0.0
customer_city_porto seguro,0.0
customer_city_raposos,0.0
customer_city_reboucas,0.0
customer_city_recife,0.0
customer_city_recreio,0.0
customer_city_praia norte,0.0
customer_city_prata,0.0
customer_city_presidente dutra,0.0
customer_city_presidente epitacio,0.0
customer_city_presidente getulio,0.0
customer_city_pontes e lacerda,0.0
customer_city_presidente olegario,0.0
customer_city_presidente prudente,0.0
customer_city_presidente tancredo neves,0.0
customer_city_primavera,0.0
customer_city_primavera do leste,0.0
customer_city_promissao,0.0
customer_city_puxinana,0.0
customer_city_quarai,0.0
customer_city_quatigua,0.0
customer_city_quatis,0.0
customer_city_presidente kubitschek,0.0
customer_city_pirapozinho,0.0
customer_city_pirassununga,0.0
customer_city_piratuba,0.0
customer_city_pires do rio,0.0
customer_city_picos,0.0
customer_city_piedade,0.0
customer_city_piedade de caratinga,0.0
customer_city_piedade dos gerais,0.0
customer_city_pilao arcado,0.0
customer_city_pocos de caldas,0.0
customer_city_pimenta bueno,0.0
customer_city_pindai,0.0
customer_city_pindamonhangaba,0.0
customer_city_pindoba,0.0
customer_city_pinhais,0.0
customer_city_pinhalao,0.0
customer_city_pinhalzinho,0.0
customer_city_pinheiral,0.0
customer_city_pinhotiba,0.0
customer_city_pedrao,0.0
customer_city_pilar,0.0
customer_city_pojuca,0.0
customer_city_pombal,0.0
customer_city_pomerode,0.0
customer_city_pompeia,0.0
customer_city_ponta grossa,0.0
customer_city_ponta pora,0.0
customer_city_pontal,0.0
customer_city_pontal do parana,0.0
customer_city_ponte nova,0.0
customer_city_pirapora do bom jesus,0.0
customer_city_piracanjuba,0.0
customer_city_piracicaba,0.0
customer_city_pirai,0.0
